seed,dataset_size,parameter_scale,regularization_C,feature_map,gram_symmetry_error,minimum_eigenvalue,condition_number,kernel_target_alignment,effective_rank,test_accuracy,axis_support
7,126,0.5,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.360053062775805e-14,1201538740543.8496,0.0005670684340276868,1.2344105559538516,0.5740740740740741,supported
7,126,0.5,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.360053062775805e-14,1201538740543.8496,0.0005670684340276868,1.2344105559538516,0.5740740740740741,supported
7,126,0.5,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.360053062775805e-14,1201538740543.8496,0.0005670684340276868,1.2344105559538516,0.6666666666666666,supported
7,126,1.0,0.1,fixed Eq.5 MuTAKernel,6.661338147750939e-16,-5.028879480759733e-14,1152044684868.7275,0.006308258532377649,1.4263708979798164,0.6296296296296297,supported
7,126,1.0,1.0,fixed Eq.5 MuTAKernel,6.661338147750939e-16,-5.028879480759733e-14,1152044684868.7275,0.006308258532377649,1.4263708979798164,0.6481481481481481,supported
7,126,1.0,10.0,fixed Eq.5 MuTAKernel,6.661338147750939e-16,-5.028879480759733e-14,1152044684868.7275,0.006308258532377649,1.4263708979798164,0.6481481481481481,supported
7,126,2.0,0.1,fixed Eq.5 MuTAKernel,6.661338147750939e-16,-3.292827507380693e-14,1147053440653.1885,0.02246351339444986,1.4417006909026964,0.6851851851851852,supported
7,126,2.0,1.0,fixed Eq.5 MuTAKernel,6.661338147750939e-16,-3.292827507380693e-14,1147053440653.1885,0.02246351339444986,1.4417006909026964,0.6481481481481481,supported
7,126,2.0,10.0,fixed Eq.5 MuTAKernel,6.661338147750939e-16,-3.292827507380693e-14,1147053440653.1885,0.02246351339444986,1.4417006909026964,0.6666666666666666,supported
19,40,0.5,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-9.303142406644769e-15,382534236832.94196,0.010437478965376864,1.2226435422026913,0.5,supported
19,40,0.5,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-9.303142406644769e-15,382534236832.94196,0.010437478965376864,1.2226435422026913,0.5,supported
19,40,0.5,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-9.303142406644769e-15,382534236832.94196,0.010437478965376864,1.2226435422026913,0.6111111111111112,supported
19,40,1.0,0.1,fixed Eq.5 MuTAKernel,6.661338147750939e-16,-6.778273929133244e-15,368915303528.45306,0.014417060107346115,1.3891991206727754,0.5,supported
19,40,1.0,1.0,fixed Eq.5 MuTAKernel,6.661338147750939e-16,-6.778273929133244e-15,368915303528.45306,0.014417060107346115,1.3891991206727754,0.5,supported
19,40,1.0,10.0,fixed Eq.5 MuTAKernel,6.661338147750939e-16,-6.778273929133244e-15,368915303528.45306,0.014417060107346115,1.3891991206727754,0.6481481481481481,supported
19,40,2.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-7.636014949523018e-15,368502114747.99005,0.02047213302433343,1.3951638708022744,0.5,supported
19,40,2.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-7.636014949523018e-15,368502114747.99005,0.02047213302433343,1.3951638708022744,0.7037037037037037,supported
19,40,2.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-7.636014949523018e-15,368502114747.99005,0.02047213302433343,1.3951638708022744,0.7407407407407407,supported
19,80,0.5,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-1.3508272067416868e-14,760392504427.8378,0.0023602546493222687,1.250101412603149,0.5,supported
19,80,0.5,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-1.3508272067416868e-14,760392504427.8378,0.0023602546493222687,1.250101412603149,0.4444444444444444,supported
19,80,0.5,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-1.3508272067416868e-14,760392504427.8378,0.0023602546493222687,1.250101412603149,0.6666666666666666,supported
19,80,1.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.059189435542162e-14,733212986046.6495,0.0057024731791995124,1.4160243200297244,0.5,supported
19,80,1.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.059189435542162e-14,733212986046.6495,0.0057024731791995124,1.4160243200297244,0.6666666666666666,supported
19,80,1.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.059189435542162e-14,733212986046.6495,0.0057024731791995124,1.4160243200297244,0.6666666666666666,supported
19,80,2.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.1354133814632662e-14,730527338137.4677,0.008352948878025035,1.4313133740093607,0.5,supported
19,80,2.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.1354133814632662e-14,730527338137.4677,0.008352948878025035,1.4313133740093607,0.7592592592592593,supported
19,80,2.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.1354133814632662e-14,730527338137.4677,0.008352948878025035,1.4313133740093607,0.7592592592592593,supported
19,126,0.5,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.811551148580529e-14,1202845779889.206,0.0007853960207599662,1.2312712482418202,0.6296296296296297,supported
19,126,0.5,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.811551148580529e-14,1202845779889.206,0.0007853960207599662,1.2312712482418202,0.6296296296296297,supported
19,126,0.5,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-4.811551148580529e-14,1202845779889.206,0.0007853960207599662,1.2312712482418202,0.6296296296296297,supported
19,126,1.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.452252757447405e-14,1154186712076.1003,0.007492925054666787,1.4188561348953663,0.6296296296296297,supported
19,126,1.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-3.452252757447405e-14,1154186712076.1003,0.007492925054666787,1.4188561348953663,0.6851851851851852,supported
